"Position","Mood:Tense","Subject","Infinitive","Front","Back"
"9","Condizionale:Passato","loro","APRIRE","se (passato) loro APRIRE","se (loro) avrebbero aperto"
"9","Gerundio:Presente","... ","APRIRE","(...ndo) ...  APRIRE","(... ) aprendo"
"9","Gerundio:Passato","avendo","APRIRE","(passato ...ndo) APRIRE","(avendo) aperto"
"9","Participio:Presente","... ","APRIRE","(aggetivo) ...  APRIRE","(... ) aprente"
"9","Imperativo:Presente","... ","APRIRE","(per favore) ...  APRIRE","(... ) apri"
"10","Indicativo:Presente","io","ARRABBIARSI","(adesso) io ARRABBIARSI","(io) mi arrabbio"
"10","Indicativo:Presente","tu","ARRABBIARSI","(adesso) tu ARRABBIARSI","(tu) ti arrabbi"
"10","Indicativo:Presente","lei","ARRABBIARSI","(adesso) lei ARRABBIARSI","(lei) si arrabbia"
"10","Indicativo:Presente","noi","ARRABBIARSI","(adesso) noi ARRABBIARSI","(noi) ci arrabbiamo"
"10","Indicativo:Presente","voi","ARRABBIARSI","(adesso) voi ARRABBIARSI","(voi) vi arrabbiate"
"10","Indicativo:Presente","loro","ARRABBIARSI","(adesso) loro ARRABBIARSI","(loro) si arrabbiano"
"10","Indicativo:Imperfetto","loro","ARRABBIARSI","(ieri) loro ARRABBIARSI","(loro) si arrabbiavano"
"10","Indicativo:Passato:remoto","io","ARRABBIARSI","(molto tempo fa) io ARRABBIARSI","(io) mi arrabbiai"
"10","Indicativo:Passato:remoto","tu","ARRABBIARSI","(molto tempo fa) tu ARRABBIARSI","(tu) ti arrabbiasti"
"10","Indicativo:Futuro:semplice","lui","ARRABBIARSI","(domani) lui ARRABBIARSI","(lui) si arrabbierà"
"10","Indicativo:Passato:prossimo","noi","ARRABBIARSI","(perfetto) noi ARRABBIARSI","(noi) ci siamo arrabbiati"
"10","Indicativo:Trapassato:prossimo","loro","ARRABBIARSI","(perchè ieri) loro ARRABBIARSI","(loro) si erano arrabbiate"
"10","Congiuntivo:Presente","che io","ARRABBIARSI","che io ARRABBIARSI","(che io) mi arrabbi"
"10","Congiuntivo:Presente","che loro","ARRABBIARSI","che loro ARRABBIARSI","(che loro) si arrabbino"
"10","Congiuntivo:Passato","che io","ARRABBIARSI","(perfetto) che io ARRABBIARSI","(che io) mi sia arrabbiato"
"10","Congiuntivo:Passato","che voi","ARRABBIARSI","(perfetto) che voi ARRABBIARSI","(che voi) vi siate arrabbiati"
"10","Condizionale:Presente","io","ARRABBIARSI","se (presente) io ARRABBIARSI","se (io) mi arrabbierei"
"10","Condizionale:Presente","voi","ARRABBIARSI","se (presente) voi ARRABBIARSI","se (voi) vi arrabbiereste"
"10","Condizionale:Passato","loro","ARRABBIARSI","se (passato) loro ARRABBIARSI","se (loro) si sarebbero arrabbiati"
"10","Gerundio:Presente","... ","ARRABBIARSI","(...ndo) ...  ARRABBIARSI","(... ) arrabbiandosi"
"10","Gerundio:Passato","essendosi","ARRABBIARSI","(passato ...ndo) ARRABBIARSI","(essendosi) arrabbiato"
